132,62.81139,-92.115833,"Rankin Inlet"
133,46.625,-80.798889,Sudbury
134,45.438611,-71.691389,Sherbrooke
135,45.316111,-65.890278,"Saint John"
136,60.020278,-111.961944,"Fort Smith"
137,72.982222,-84.613611,Nanisivik
138,46.440556,-63.833611,Summerside
139,71.993889,-125.2425,"Sachs Harbour"
140,64.23,-76.526667,"Cape Dorset"
141,55.801111,-97.864166,Thompson
142,44.118889,-77.528056,Trenton
143,48.569721,-81.376667,Timmins
144,43.627499,-79.396167,"City Centre"
145,69.433334,-133.026389,Tuktoyaktuk
146,45.470556,-73.740833,"Pierre Elliott Trudeau Intl"
147,66.521389,-86.224722,"Repulse Bay"
148,68.776111,-81.243611,"Hall Beach"
149,48.206111,-78.835556,"Rouyn Noranda"
150,55.15139,-105.261944,"La Ronge"
151,53.355833,-110.82389,Vermilion
152,67.545833,-64.031389,Qikiqtarjuaq
153,48.053333,-77.782778,"Val D Or"
154,58.096111,-68.426944,Kuujjuaq
155,65.281617,-126.798219,"Norman Wells"
156,49.193889,-123.184444,"Vancouver Intl"
157,55.841944,-108.4175,"Buffalo Narrows"
158,44.745834,-81.107222,Wiarton
159,45.952221,-77.319168,Petawawa
160,49.910036,-97.239886,"Winnipeg Intl"
161,52.921944,-66.864444,Wabush
162,52.183056,-122.054167,"Williams Lake"
163,63.209444,-123.436667,Wrigley
164,49.612222,-115.781944,"Canadian Rockies Intl"
165,53.5725,-113.520556,"Edmonton City Centre"
166,52.170834,-106.699722,"Saskatoon J G Diefenbaker Intl"
167,50.01889,-110.720833,"Medicine Hat"
168,56.238056,-120.740278,"Fort St John"
169,50.113889,-91.905278,"Sioux Lookout"
170,66.145,-65.713611,Pangnirtung
171,47.695,-79.848889,"Timiskaming Rgnl"
172,53.889444,-122.678889,"Prince George"
173,54.468508,-128.576219,Terrace
174,43.033056,-81.151111,London
175,49.025278,-122.360556,Abbotsford
176,60.709553,-135.067269,"Whitehorse Intl"
177,46.363611,-79.422778,"North Bay"
178,51.113888,-114.020278,"Calgary Intl"
179,54.824722,-127.182778,Smithers
180,58.836389,-122.596944,"Fort Nelson"
181,49.463056,-119.602222,Penticton
182,46.290001,-63.121111,Charlottetown
183,69.546667,-93.576667,Taloyoak
